Data,TempoDobra,TempoDobra_min,TempoDobra_max
2020-06-10,13.070206765753403,9.294010860950431,22.01499046292658
2020-06-11,10.366733436439944,8.179621123179652,14.150325762511153
2020-06-12,9.237644871074734,8.161852382424222,10.640087005928141
2020-06-13,9.64334354692572,8.068306560503906,11.98247679649934
2020-06-14,12.005776152083618,9.517797834787599,16.25483413634209
2020-06-15,13.334108299076428,10.965509061023496,17.00788869315697
2020-06-16,14.222364954514465,12.18244178837973,17.08285087803107
2020-06-17,14.940694185704743,12.647670169315376,18.249293058459944
2020-06-18,14.584913956522126,12.549174965083665,17.409021898254576
2020-06-19,14.047810107672973,12.133787916394862,16.6787725982187
2020-06-20,14.649305488789116,13.044651970555233,16.704118668199857
2020-06-21,14.949016659437794,13.137668793540112,17.339719659672998
2020-06-22,15.23411680827147,13.135938069676362,18.129985347312935
2020-06-23,15.796225000807574,13.778914895613497,18.505539323629
2020-06-24,16.275759554517645,14.562004620276857,18.446690531628562
2020-06-25,16.33610028730959,14.59939556332151,18.541780490223015
2020-06-26,16.69141856168865,14.540076386217844,19.589935238965218
2020-06-27,17.277401962578416,14.984351208224645,20.399064691119385
2020-06-28,20.129309015159265,17.43958461243582,23.800007780994594
2020-06-29,22.179470203979097,19.624383922707295,25.4994931618363
2020-06-30,24.324215621995993,20.580142379682897,29.733533207205014
2020-07-01,26.435520929192368,22.146881080307733,32.783986436729016
2020-07-02,27.439870021802882,23.918349541903186,32.17737426590978
2020-07-03,24.423617039475996,21.224428467815073,28.75841407748854
2020-07-04,21.278102767237403,17.526754454980352,27.07260160646567
2020-07-05,17.70424677408384,15.222641944910361,21.152548815146094
2020-07-06,16.508983284930938,15.102355508462487,18.204548128527325
2020-07-07,16.623451869648903,15.103252397095236,18.483929253095045
2020-07-08,17.49091862238029,15.33400162690761,20.353954012852192
2020-07-09,20.407355748394217,17.29729679992167,24.880959421252445
2020-07-10,24.77638998069497,20.84435223588616,30.536790228431226
2020-07-11,27.24301185399657,23.392772049285778,32.6103883703937
2020-07-12,31.023157920488174,27.31847095689085,35.890276580940686
2020-07-13,32.692930796415425,29.857779230294234,36.12299744650059
2020-07-14,30.19000733997554,26.7556835763051,34.635814122515384
2020-07-15,27.75356413399147,24.54334804821406,31.929928775501804
2020-07-16,27.83009577591825,24.585566798667056,32.06117174046345
2020-07-17,26.94427356514481,24.639180464717484,29.725182320357593
2020-07-18,27.188862789710868,24.907850356132748,29.92977313213038
2020-07-19,25.83946363223428,22.398886626610572,30.528840807101183
2020-07-20,25.979434789457272,22.454117839807353,30.81786815547261
2020-07-21,24.741276965005127,22.001753999537133,28.26004362919654
2020-07-22,25.145740009140315,22.214246017221946,28.96856497014199
2020-07-23,24.84847591307328,21.816209531413165,28.85973156615983
2020-07-24,25.57059669573394,22.53631918097631,29.54906663856045
2020-07-25,24.17130811256984,22.4980349585165,26.113476831851255
