Data,Encerrados_diario,Suspeitos_diario,moving_average_encerrados,moving_average_suspeitos
2020-09-10,194.0,445.0,249.28571428571428,309.57142857142856
2020-09-11,238.0,491.0,234.42857142857142,320.7142857142857
2020-09-12,165.0,249.0,226.85714285714286,315.7142857142857
2020-09-13,282.0,190.0,237.85714285714286,322.42857142857144
2020-09-14,313.0,423.0,249.57142857142858,363.42857142857144
2020-09-15,368.0,476.0,277.7142857142857,384.0
2020-09-16,98.0,608.0,236.85714285714286,411.7142857142857
2020-09-17,392.0,466.0,265.14285714285717,414.7142857142857
2020-09-18,170.0,466.0,255.42857142857142,411.14285714285717
2020-09-19,172.0,264.0,256.42857142857144,413.2857142857143
2020-09-20,86.0,161.0,228.42857142857142,409.14285714285717
2020-09-21,296.0,360.0,226.0,400.14285714285717
2020-09-22,249.0,475.0,209.0,400.0
2020-09-23,519.0,464.0,269.14285714285717,379.42857142857144
2020-09-24,341.0,373.0,261.85714285714283,366.14285714285717
2020-09-25,343.0,324.0,286.57142857142856,345.85714285714283
2020-09-26,143.0,271.0,282.42857142857144,346.85714285714283
2020-09-27,114.0,164.0,286.42857142857144,347.2857142857143
2020-09-28,348.0,306.0,293.85714285714283,339.57142857142856
2020-09-29,366.0,476.0,310.57142857142856,339.7142857142857
2020-09-30,297.0,364.0,278.85714285714283,325.42857142857144
2020-10-01,385.0,342.0,285.14285714285717,321.0
2020-10-02,240.0,429.0,270.42857142857144,336.0
2020-10-03,93.0,264.0,263.2857142857143,335.0
2020-10-04,91.0,100.0,260.0,325.85714285714283
2020-10-05,258.0,556.0,247.14285714285714,361.57142857142856
2020-10-06,176.0,414.0,220.0,352.7142857142857
2020-10-07,125.0,316.0,195.42857142857142,345.85714285714283
2020-10-08,305.0,335.0,184.0,344.85714285714283
2020-10-09,297.0,393.0,192.14285714285714,339.7142857142857
2020-10-10,97.0,199.0,192.71428571428572,330.42857142857144
2020-10-11,110.0,143.0,195.42857142857142,336.57142857142856
2020-10-12,124.0,132.0,176.28571428571428,276.0
2020-10-13,397.0,354.0,207.85714285714286,267.42857142857144
2020-10-14,235.0,505.0,223.57142857142858,294.42857142857144
2020-10-15,640.0,485.0,271.42857142857144,315.85714285714283
2020-10-16,251.0,350.0,264.85714285714283,309.7142857142857
2020-10-17,261.0,234.0,288.2857142857143,314.7142857142857
2020-10-18,107.0,162.0,287.85714285714283,317.42857142857144
2020-10-19,259.0,363.0,307.14285714285717,350.42857142857144
2020-10-20,401.0,375.0,307.7142857142857,353.42857142857144
2020-10-21,226.0,455.0,306.42857142857144,346.2857142857143
2020-10-22,383.0,385.0,269.7142857142857,332.0
2020-10-23,333.0,371.0,281.42857142857144,335.0
2020-10-24,198.0,393.0,272.42857142857144,357.7142857142857
2020-10-25,118.0,128.0,274.0,352.85714285714283
2020-10-26,230.0,194.0,269.85714285714283,328.7142857142857
2020-10-27,185.0,464.0,239.0,341.42857142857144
2020-10-28,212.0,498.0,237.0,347.57142857142856
2020-10-29,140.0,490.0,202.28571428571428,362.57142857142856
2020-10-30,81.0,416.0,166.28571428571428,369.0
2020-10-31,143.0,204.0,158.42857142857142,342.0
2020-11-01,137.0,123.0,161.14285714285714,341.2857142857143
2020-11-02,152.0,138.0,150.0,333.2857142857143
2020-11-03,136.0,284.0,143.0,307.57142857142856
2020-11-04,208.0,480.0,142.42857142857142,305.0
2020-11-05,239.0,566.0,156.57142857142858,315.85714285714283
2020-11-06,110.0,597.0,160.71428571428572,341.7142857142857
2020-11-07,110.0,345.0,156.0,361.85714285714283
2020-11-08,94.0,352.0,149.85714285714286,394.57142857142856
2020-11-09,280.0,555.0,168.14285714285714,454.14285714285717
2020-11-10,257.0,562.0,185.42857142857142,493.85714285714283
2020-11-11,275.0,640.0,195.0,516.7142857142857
2020-11-12,176.0,724.0,186.0,539.2857142857143
2020-11-13,312.0,711.0,214.85714285714286,555.5714285714286
2020-11-14,134.0,493.0,218.28571428571428,576.7142857142857
2020-11-15,120.0,440.0,222.0,589.2857142857143
2020-11-16,198.0,470.0,210.28571428571428,577.1428571428571
2020-11-17,124.0,734.0,191.28571428571428,601.7142857142857
2020-11-18,286.0,869.0,192.85714285714286,634.4285714285714
2020-11-19,252.0,855.0,203.71428571428572,653.1428571428571
2020-11-20,312.0,854.0,203.71428571428572,673.5714285714286
2020-11-21,111.0,657.0,200.42857142857142,697.0
2020-11-22,591.0,397.0,267.7142857142857,690.8571428571429
2020-11-23,420.0,688.0,299.42857142857144,722.0
2020-11-24,113.0,1078.0,297.85714285714283,771.1428571428571
2020-11-25,368.0,1042.0,309.57142857142856,795.8571428571429
2020-11-26,293.0,1039.0,315.42857142857144,822.1428571428571
2020-11-27,224.0,833.0,302.85714285714283,819.1428571428571
2020-11-28,196.0,638.0,315.0,816.4285714285714
2020-11-29,163.0,370.0,253.85714285714286,812.5714285714286
2020-11-30,95.0,584.0,207.42857142857142,797.7142857142857
2020-12-01,296.0,848.0,233.57142857142858,764.8571428571429
2020-12-02,1365.0,713.0,376.0,717.8571428571429
2020-12-03,1121.0,899.0,494.2857142857143,697.8571428571429
2020-12-04,1144.0,799.0,625.7142857142857,693.0
2020-12-05,368.0,473.0,650.2857142857143,669.4285714285714
2020-12-06,31.0,281.0,631.4285714285714,656.7142857142857
2020-12-07,198.0,600.0,646.1428571428571,659.0
2020-12-08,486.0,677.0,673.2857142857143,634.5714285714286
2020-12-09,433.0,758.0,540.1428571428571,641.0
2020-12-10,524.0,839.0,454.85714285714283,632.4285714285714
2020-12-11,534.0,880.0,367.7142857142857,644.0
2020-12-12,393.0,1071.0,371.2857142857143,729.4285714285714
2020-12-13,62.0,-133.0,375.7142857142857,670.2857142857143
2020-12-14,349.0,505.0,397.2857142857143,656.7142857142857
2020-12-15,203.0,884.0,356.85714285714283,686.2857142857143
2020-12-16,264.0,953.0,332.7142857142857,714.1428571428571
2020-12-17,320.0,729.0,303.57142857142856,698.4285714285714
2020-12-18,334.0,828.0,275.0,691.0
2020-12-19,307.0,890.0,262.7142857142857,665.1428571428571
2020-12-20,399.0,489.0,310.85714285714283,754.0
2020-12-21,348.0,499.0,310.7142857142857,753.1428571428571
2020-12-22,318.0,672.0,327.14285714285717,722.8571428571429
2020-12-23,303.0,666.0,332.7142857142857,681.8571428571429
2020-12-24,103.0,432.0,301.7142857142857,639.4285714285714
2020-12-27,228.0,655.0,286.57142857142856,614.7142857142857
2020-12-28,388.0,483.0,298.14285714285717,556.5714285714286
2020-12-29,270.0,619.0,279.7142857142857,575.1428571428571
2020-12-30,419.0,780.0,289.85714285714283,615.2857142857143
