date,name,value,rank,lastValue
2022-01-05,Hiromi,0,50,0
2022-01-05,Jamiroquai,0,49,0
2022-01-05,Joe Hisaishi,0,48,0
2022-01-05,John Mayer,0,47,0
2022-01-05,Jovem Dionisio,0,46,0
2022-01-05,KANA-BOON,0,45,0
2022-01-05,KT Tunstall,0,44,0
2022-01-05,Kenshi Yonezu,0,43,0
2022-01-05,Khruangbin,0,42,0
2022-01-05,LUDMILLA,0,41,0
2022-01-05,Lilas Ikuta,0,40,0
2022-01-05,Lô Borges,0,39,0
2022-01-05,MC Primitivo,2,2,0
2022-01-05,Masayuki Suzuki,0,38,0
2022-01-05,Novos Baianos,0,37,0
2022-01-05,O'Donel Levy,0,36,0
2022-01-05,Official HIGE DANdism,0,35,0
2022-01-05,Papatinho,0,34,0
2022-01-05,Paulinho da Viola,0,33,0
2022-01-05,Phoenix,0,32,0
2022-01-05,Pomplamoose,0,31,0
2022-01-05,RADWIMPS,0,30,0
2022-01-05,Rage Against the Machine,0,29,0
2022-01-05,Red Hot Chili Peppers,0,28,0
2022-01-05,SILVIO RODRÍGUEZ,0,27,0
2022-01-05,Saint Motel,0,26,0
2022-01-05,Sakanaction,0,25,0
2022-01-05,Scary Pockets,0,24,0
2022-01-05,Taichi Mukai,0,23,0
2022-01-05,Tame Impala,0,22,0
2022-01-05,The Kooks,1,6,0
2022-01-05,The Strokes,1,5,1
2022-01-05,Two Door Cinema Club,0,21,0
2022-01-05,Victor Jara,0,20,0
2022-01-05,Vulfpeck,0,19,0
2022-01-05,Wednesday Campanella,0,18,0
2022-01-05,YOASOBI,0,17,0
2022-01-05,Yorushika,0,16,0
2022-01-05,Yuki Hayashi,0,15,0
2022-01-05,go!go!vanillas,0,14,0
2022-01-05,ichika Nito,0,13,0
2022-01-05,never young beach,0,12,0
2022-01-05,あたらよ,0,11,0
2022-01-05,ネクライトーキー,0,10,0
2022-01-05,フレデリック,1,4,1
2022-01-05,ヨルシカ,0,9,0
2022-01-06,Aimer,0,66,0
2022-01-06,Anderson .Paak,0,65,0
2022-01-06,Antônio Carlos Jobim,0,64,0
2022-01-06,Arctic Monkeys,0,63,0
2022-01-06,BaianaSystem,6,0,6
2022-01-06,Black Alien,5,1,5
2022-01-06,Boi Bumbá Garantido,0,62,0
2022-01-06,Camarada Janderson,0,61,0
2022-01-06,Chico Buarque,0,60,0
2022-01-06,Chico Science & Nação Zumbi,0,59,0
2022-01-06,Cory Wong,0,58,0
2022-01-06,Criolo,0,57,0
2022-01-06,Daft Punk,0,56,0
2022-01-06,Don L,2,3,2
2022-01-06,Elza Soares,0,55,0
2022-01-06,Emicida,0,54,0
2022-01-06,FBC,0,53,0
2022-01-06,Febem,0,52,0
2022-01-06,Foster the People,1,8,1
2022-01-06,Gen Hoshino,0,51,0
2022-01-06,Gorillaz,1,7,1
2022-01-06,Hiromi,0,50,0
2022-01-06,Jamiroquai,0,49,0
2022-01-06,Joe Hisaishi,0,48,0
2022-01-06,John Mayer,0,47,0
2022-01-06,Jovem Dionisio,0,46,0
2022-01-06,KANA-BOON,0,45,0
2022-01-06,KT Tunstall,0,44,0
2022-01-06,Kenshi Yonezu,0,43,0
2022-01-06,Khruangbin,0,42,0
2022-01-06,LUDMILLA,0,41,0
2022-01-06,Lilas Ikuta,0,40,0
2022-01-06,Lô Borges,0,39,0
2022-01-06,MC Primitivo,2,2,2
2022-01-06,Masayuki Suzuki,0,38,0
2022-01-06,Novos Baianos,0,37,0
2022-01-06,O'Donel Levy,0,36,0
2022-01-06,Official HIGE DANdism,0,35,0
2022-01-06,Papatinho,0,34,0
2022-01-06,Paulinho da Viola,0,33,0
2022-01-06,Phoenix,0,32,0
2022-01-06,Pomplamoose,0,31,0
2022-01-06,RADWIMPS,0,30,0
2022-01-06,Rage Against the Machine,0,29,0
2022-01-06,Red Hot Chili Peppers,0,28,0
2022-01-06,SILVIO RODRÍGUEZ,0,27,0
2022-01-06,Saint Motel,0,26,0
2022-01-06,Sakanaction,0,25,0
2022-01-06,Scary Pockets,0,24,0
2022-01-06,Taichi Mukai,0,23,0
2022-01-06,Tame Impala,0,22,0
2022-01-06,The Kooks,1,6,1
2022-01-06,The Strokes,1,5,1
2022-01-06,Two Door Cinema Club,0,21,0
2022-01-06,Victor Jara,0,20,0
2022-01-06,Vulfpeck,0,19,0
2022-01-06,Wednesday Campanella,0,18,0
2022-01-06,YOASOBI,0,17,0
2022-01-06,Yorushika,0,16,0
2022-01-06,Yuki Hayashi,0,15,0
2022-01-06,go!go!vanillas,0,14,0
2022-01-06,ichika Nito,0,13,0
2022-01-06,never young beach,0,12,0
2022-01-06,あたらよ,0,11,0
2022-01-06,ネクライトーキー,0,10,0
2022-01-06,フレデリック,1,4,1
2022-01-06,ヨルシカ,0,9,0
2022-01-07,Aimer,0,66,0
2022-01-07,Anderson .Paak,0,65,0
2022-01-07,Antônio Carlos Jobim,0,64,0
2022-01-07,Arctic Monkeys,0,63,0
2022-01-07,BaianaSystem,6,0,6
2022-01-07,Black Alien,5,1,5
2022-01-07,Boi Bumbá Garantido,0,62,0
2022-01-07,Camarada Janderson,0,61,0
2022-01-07,Chico Buarque,0,60,0
2022-01-07,Chico Science & Nação Zumbi,0,59,0
2022-01-07,Cory Wong,0,58,0
2022-01-07,Criolo,0,57,0
2022-01-07,Daft Punk,0,56,0
2022-01-07,Don L,2,3,2
2022-01-07,Elza Soares,0,55,0
2022-01-07,Emicida,0,54,0
2022-01-07,FBC,0,53,0
2022-01-07,Febem,0,52,0
2022-01-07,Foster the People,1,8,1
2022-01-07,Gen Hoshino,0,51,0
2022-01-07,Gorillaz,1,7,1
2022-01-07,Hiromi,0,50,0
2022-01-07,Jamiroquai,0,49,0
2022-01-07,Joe Hisaishi,0,48,0
2022-01-07,John Mayer,0,47,0
2022-01-07,Jovem Dionisio,0,46,0
2022-01-07,KANA-BOON,0,45,0
2022-01-07,KT Tunstall,0,44,0
2022-01-07,Kenshi Yonezu,0,43,0
2022-01-07,Khruangbin,0,42,0
2022-01-07,LUDMILLA,0,41,0
2022-01-07,Lilas Ikuta,0,40,0
2022-01-07,Lô Borges,0,39,0
2022-01-07,MC Primitivo,2,2,2
2022-01-07,Masayuki Suzuki,0,38,0
2022-01-07,Novos Baianos,0,37,0
2022-01-07,O'Donel Levy,0,36,0
2022-01-07,Official HIGE DANdism,0,35,0
2022-01-07,Papatinho,0,34,0
2022-01-07,Paulinho da Viola,0,33,0
2022-01-07,Phoenix,0,32,0
2022-01-07,Pomplamoose,0,31,0
2022-01-07,RADWIMPS,0,30,0
2022-01-07,Rage Against the Machine,0,29,0
2022-01-07,Red Hot Chili Peppers,0,28,0
2022-01-07,SILVIO RODRÍGUEZ,0,27,0
2022-01-07,Saint Motel,0,26,0
2022-01-07,Sakanaction,0,25,0
2022-01-07,Scary Pockets,0,24,0
2022-01-07,Taichi Mukai,0,23,0
2022-01-07,Tame Impala,0,22,0
2022-01-07,The Kooks,1,6,1
2022-01-07,The Strokes,1,5,1
2022-01-07,Two Door Cinema Club,0,21,0
2022-01-07,Victor Jara,0,20,0
2022-01-07,Vulfpeck,0,19,0
2022-01-07,Wednesday Campanella,0,18,0
2022-01-07,YOASOBI,0,17,0
2022-01-07,Yorushika,0,16,0
2022-01-07,Yuki Hayashi,0,15,0
2022-01-07,go!go!vanillas,0,14,0
2022-01-07,ichika Nito,0,13,0
2022-01-07,never young beach,0,12,0
2022-01-07,あたらよ,0,11,0
2022-01-07,ネクライトーキー,0,10,0
2022-01-07,フレデリック,1,4,1
2022-01-07,ヨルシカ,0,9,0
2022-01-08,Aimer,0,66,0
2022-01-08,Anderson .Paak,0,65,0
2022-01-08,Antônio Carlos Jobim,0,64,0
2022-01-08,Arctic Monkeys,0,63,0
2022-01-08,BaianaSystem,10,0,6
2022-01-08,Black Alien,8,1,5
2022-01-08,Boi Bumbá Garantido,0,62,0
2022-01-08,Camarada Janderson,1,23,0
2022-01-08,Chico Buarque,0,61,0
2022-01-08,Chico Science & Nação Zumbi,0,60,0
2022-01-08,Cory Wong,1,22,0
2022-01-08,Criolo,0,59,0
2022-01-08,Daft Punk,0,58,0
2022-01-08,Don L,2,15,2
2022-01-08,Elza Soares,0,57,0
2022-01-08,Emicida,3,7,0
2022-01-08,FBC,0,56,0
2022-01-08,Febem,2,14,0
2022-01-08,Foster the People,4,3,1
2022-01-08,Gen Hoshino,0,55,0
2022-01-08,Gorillaz,1,21,1
2022-01-08,Hiromi,0,54,0
2022-01-08,Jamiroquai,0,53,0
2022-01-08,Joe Hisaishi,0,52,0
2022-01-08,John Mayer,0,51,0
2022-01-08,Jovem Dionisio,0,50,0
2022-01-08,KANA-BOON,2,13,0
2022-01-08,KT Tunstall,2,12,0
2022-01-08,Kenshi Yonezu,1,20,0
2022-01-08,Khruangbin,0,49,0
2022-01-08,LUDMILLA,0,48,0
2022-01-08,Lilas Ikuta,0,47,0
2022-01-08,Lô Borges,1,19,0
2022-01-08,MC Primitivo,4,2,2
2022-01-08,Masayuki Suzuki,0,46,0
2022-01-08,Novos Baianos,0,45,0
2022-01-08,O'Donel Levy,0,44,0
2022-01-08,Official HIGE DANdism,0,43,0
2022-01-08,Papatinho,0,42,0
2022-01-08,Paulinho da Viola,0,41,0
2022-01-08,Phoenix,2,11,0
2022-01-08,Pomplamoose,1,18,0
2022-01-08,RADWIMPS,0,40,0
2022-01-08,Rage Against the Machine,2,10,0
2022-01-08,Red Hot Chili Peppers,1,17,0
2022-01-08,SILVIO RODRÍGUEZ,0,39,0
2022-01-08,Saint Motel,0,38,0
2022-01-08,Sakanaction,1,16,0
2022-01-08,Scary Pockets,0,37,0
2022-01-08,Taichi Mukai,3,6,0
2022-01-08,Tame Impala,0,36,0
2022-01-08,The Kooks,3,5,1
2022-01-08,The Strokes,2,9,1
2022-01-08,Two Door Cinema Club,0,35,0
2022-01-08,Victor Jara,0,34,0
2022-01-08,Vulfpeck,0,33,0
2022-01-08,Wednesday Campanella,3,4,0
2022-01-08,YOASOBI,0,32,0
2022-01-08,Yorushika,0,31,0
2022-01-08,Yuki Hayashi,0,30,0
2022-01-08,go!go!vanillas,0,29,0
2022-01-08,ichika Nito,0,28,0
2022-01-08,never young beach,0,27,0
2022-01-08,あたらよ,0,26,0
2022-01-08,ネクライトーキー,0,25,0
2022-01-08,フレデリック,2,8,1
2022-01-08,ヨルシカ,0,24,0
2022-01-09,Aimer,0,66,0
2022-01-09,Anderson .Paak,0,65,0
2022-01-09,Antônio Carlos Jobim,0,64,0
2022-01-09,Arctic Monkeys,0,63,0
2022-01-09,BaianaSystem,24,0,10
2022-01-09,Black Alien,8,1,8
2022-01-09,Boi Bumbá Garantido,0,62,0
2022-01-09,Camarada Janderson,3,9,1
2022-01-09,Chico Buarque,0,61,0
2022-01-09,Chico Science & Nação Zumbi,0,60,0
2022-01-09,Cory Wong,1,23,1
2022-01-09,Criolo,0,59,0
2022-01-09,Daft Punk,0,58,0
2022-01-09,Don L,2,16,2
2022-01-09,Elza Soares,0,57,0
2022-01-09,Emicida,3,8,3
2022-01-09,FBC,0,56,0
2022-01-09,Febem,3,7,2
2022-01-09,Foster the People,4,3,4
2022-01-09,Gen Hoshino,0,55,0
2022-01-09,Gorillaz,1,22,1
2022-01-09,Hiromi,0,54,0
2022-01-09,Jamiroquai,0,53,0
2022-01-09,Joe Hisaishi,0,52,0
2022-01-09,John Mayer,0,51,0
2022-01-09,Jovem Dionisio,0,50,0
2022-01-09,KANA-BOON,2,15,2
2022-01-09,KT Tunstall,2,14,2
2022-01-09,Kenshi Yonezu,1,21,1
2022-01-09,Khruangbin,0,49,0
2022-01-09,LUDMILLA,0,48,0
2022-01-09,Lilas Ikuta,0,47,0
2022-01-09,Lô Borges,1,20,1
2022-01-09,MC Primitivo,4,2,4
2022-01-09,Masayuki Suzuki,0,46,0
2022-01-09,Novos Baianos,0,45,0
2022-01-09,O'Donel Levy,0,44,0
2022-01-09,Official HIGE DANdism,0,43,0
2022-01-09,Papatinho,0,42,0
2022-01-09,Paulinho da Viola,0,41,0
2022-01-09,Phoenix,2,13,2
2022-01-09,Pomplamoose,1,19,1
2022-01-09,RADWIMPS,0,40,0
2022-01-09,Rage Against the Machine,2,12,2
2022-01-09,Red Hot Chili Peppers,1,18,1
2022-01-09,SILVIO RODRÍGUEZ,0,39,0
2022-01-09,Saint Motel,0,38,0
2022-01-09,Sakanaction,1,17,1
2022-01-09,Scary Pockets,0,37,0
2022-01-09,Taichi Mukai,3,6,3
2022-01-09,Tame Impala,0,36,0
2022-01-09,The Kooks,3,5,3
2022-01-09,The Strokes,2,11,2
2022-01-09,Two Door Cinema Club,0,35,0
2022-01-09,Victor Jara,0,34,0
2022-01-09,Vulfpeck,0,33,0
2022-01-09,Wednesday Campanella,3,4,3
2022-01-09,YOASOBI,0,32,0
2022-01-09,Yorushika,0,31,0
2022-01-09,Yuki Hayashi,0,30,0
2022-01-09,go!go!vanillas,0,29,0
2022-01-09,ichika Nito,0,28,0
2022-01-09,never young beach,0,27,0
2022-01-09,あたらよ,0,26,0
2022-01-09,ネクライトーキー,0,25,0
2022-01-09,フレデリック,2,10,2
2022-01-09,ヨルシカ,0,24,0
2022-01-10,Aimer,0,66,0
2022-01-10,Anderson .Paak,0,65,0
2022-01-10,Antônio Carlos Jobim,0,64,0
2022-01-10,Arctic Monkeys,0,63,0
2022-01-10,BaianaSystem,25,0,24
2022-01-10,Black Alien,9,1,8
2022-01-10,Boi Bumbá Garantido,0,62,0
2022-01-10,Camarada Janderson,3,11,3
2022-01-10,Chico Buarque,0,61,0
2022-01-10,Chico Science & Nação Zumbi,0,60,0
2022-01-10,Cory Wong,1,23,1
2022-01-10,Criolo,0,59,0
2022-01-10,Daft Punk,0,58,0
2022-01-10,Don L,2,17,2
2022-01-10,Elza Soares,0,57,0
2022-01-10,Emicida,3,10,3
2022-01-10,FBC,0,56,0
2022-01-10,Febem,3,9,3
2022-01-10,Foster the People,4,3,4
2022-01-10,Gen Hoshino,0,55,0
2022-01-10,Gorillaz,1,22,1
2022-01-10,Hiromi,0,54,0
2022-01-10,Jamiroquai,0,53,0
2022-01-10,Joe Hisaishi,0,52,0
2022-01-10,John Mayer,0,51,0
2022-01-10,Jovem Dionisio,0,50,0
2022-01-10,KANA-BOON,3,8,2
2022-01-10,KT Tunstall,2,16,2
2022-01-10,Kenshi Yonezu,1,21,1
