,streak,name,date
7855,2,It's Been So Long - Avishai Cohen,2022-04-04 22:59:00
7863,2,Miçanga - BaianaSystem,2022-04-04 22:11:00
7899,2,Vogue - Madonna,2022-04-04 19:43:00
7957,2,Summer of Farewells - From Up on Poppy Hill (Vocals by Aoi Teshima) - Aoi Teshima,2022-04-02 23:27:00
7958,2,Boca de Lobo - Criolo,2022-04-02 23:22:00
7963,2,Jamais Serão - Black Alien,2022-04-02 23:12:00
7964,2,Fogo no Pavio (oficial) - Camarada Janderson,2022-04-02 23:09:00
7971,2,Não Existe Amor Em SP - Criolo,2022-04-01 02:31:00
7972,2,Capucha - BaianaSystem,2022-04-01 02:28:00
7973,2,Brasiliana - BaianaSystem,2022-04-01 02:24:00
7974,3,enquanto recomeça - Don L,2022-03-31 23:54:00
7985,2,Canto para Atabaque - Tiganá Santana,2022-03-31 23:27:00
7986,2,Luta de classes - Camarada Janderson,2022-03-31 23:25:00
7992,2,Lisztomania - Phoenix,2022-03-31 15:14:00
7993,2,Shine on - live - The Kooks,2022-03-31 15:11:00
7995,2,O Homem Da Gravata Florida - Jorge Ben,2022-03-30 14:38:00
7996,2,Xote da Galinha - Yamandu Costa,2022-03-30 14:35:00
7997,2,Samba De Orly - Chico Buarque,2022-03-30 14:31:00
8007,2,Not the One - Red Hot Chili Peppers,2022-03-29 14:00:00
8030,2,Hey Joe - Jimi Hendrix,2022-03-26 12:49:00
8040,2,O patrão é vagabundo (O Manifesto Comunista) - Camarada Janderson,2022-03-24 17:46:00
8045,2,Capitalismo maldito - Camarada Janderson,2022-03-24 17:37:00
8046,2,Envolver - Anitta,2022-03-24 17:34:00
8115,2,White Gloves - Khruangbin,2022-03-20 00:01:00
8116,2,Time (You and I) - Khruangbin,2022-03-19 23:55:00
8137,2,Luta de classes - Camarada Janderson,2022-03-11 00:35:00
8138,2,Capitalismo maldito - Camarada Janderson,2022-03-11 00:32:00
8184,2,Lose Yourself to Dance (feat. Pharrell Williams) - Daft Punk,2022-03-08 18:15:00
8246,2,BONEKINHA - Gloria Groove,2022-03-06 22:14:00
8247,2,Leilão - Gloria Groove,2022-03-06 22:11:00
8274,2,The Optimist - Cory Wong,2022-03-04 20:20:00
8309,2,Little L - Jamiroquai,2022-03-04 13:35:00
